MC_ID,title,author,price,genre,stock_quantity,release_date,cover_image,description,category,type
1,spy x family vol1,Tatsuya Endo,50,Action,20,1/1/2019,...,"An action-packed comedy about a fake family that includes a spy,  an assassin and a telepath! Master spy Twilight is unparalleled when it  comes to going undercover on dangerous missions for the betterment of  the world. But when he receives the ultimate assignment―to get married  and have a kid―he may finally be in over his head! Not one to depend on  others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he  doesn’t know is that the wife he’s chosen is an assassin and the child  he’s adopted is a telepath!.",comedy,manga
2,Batman: Year One,Frank Miller,60,Action,15,2/1/1987,...,The origin story of Batman.,drama,comic
3,Watchmen,Alan Moore,75,Drama,25,9/1/1986,...,A group of retired superheroes uncover a conspiracy.,mystery,comic
4,The Dark Knight Returns,Frank Miller,80,Action,18,2/1/1986,...,An aged Batman comes out of retirement.,action,comic
5,Superman: Red Son,Mark Millar,65,Drama,22,4/1/2003,...,What if Superman was raised in the Soviet Union?,action,comic
6,X-Men: Days of Future Past,Chris Claremont,70,Action,17,1/1/1981,...,A dystopian future where mutants are hunted.,action,comic
8,The Killing Joke,Alan Moore,72,Drama,30,3/1/1988,...,The Joker’s origin story and his attack on Barbara Gordon.,drama,comic
9,Thor vol1,Jason Aaron,68,Action,19,11/14/2012,...,Thor faces the God Butcher across different timelines.,action,comic
10,Black Panther: A Nation Under Our Feet vol1,Ta-Nehisi Coates,63,Adventure,21,4/6/2016,...,T’Challa struggles with his leadership as Wakanda faces unrest.,adventure,comic
11,Star Wars: Darth Vader (2015),Kieron Gillen,65,Action,20,2/11/2015,...,Follow Darth Vader’s journey after the destruction of the Death Star.,action,comic
12,One Piece vol1,Eiichiro Oda,50,Adventure,30,7/22/1997,...,The adventures of Monkey D. Luffy and his pirate crew.,adventure,manga
13,Vinland Saga vol1,Makoto Yukimura,80,Action,25,4/1/2005,...,A Viking epic set during the age of exploration.,action,manga
14,Attack on Titan vol1,Hajime Isayama,65,Fantasy,20,9/9/2009,...,Humanity fights for survival against giant creatures.,action,manga
15,Naruto vol1,Masashi Kishimoto,55,Action,18,9/21/1999,...,Naruto Uzumaki strives to become the greatest ninja.,action,manga
16,My Hero Academia vol1,Kohei Horikoshi,60,Action,22,7/7/2014,...,"In a world where everyone has superpowers, a young boy dreams of becoming a hero.",action,manga
17,Death Note vol1,"Tsugumi Ohba, Takeshi Obata",50,Mystery,17,12/1/2003,...,A high school student gains the power to kill with a notebook.,mystery,manga
18,Tokyo Ghoul vol1,Sui Ishida,70,Action,20,9/8/2011,...,A college student becomes a half-ghoul after a near-fatal encounter with a ghoul.,action,manga
19,Fullmetal Alchemist vol1,Hiromu Arakawa,75,Adventure,18,7/12/2001,...,Two brothers use alchemy to search for the Philosopher's Stone to restore their bodies.,adventure,manga
20,Demon Slayer vol1,Koyoharu Gotouge,68,Adventure,19,2/15/2016,...,A young boy becomes a demon slayer to avenge his family and save his sister.,adventure,manga
21,Hunter x Hunter vol1,Yoshihiro Togashi,72,Adventure,21,3/3/1998,...,"A boy sets out on an adventure to find his father, a legendary Hunter.",adventure,manga
22,Hajime no Ippo vol1,George Morikawa,62,Sports,24,10/4/1989,...,"A young boxer, Ippo Makunouchi, rises through the ranks of professional boxing.",action,manga
